"itemid","hasbird"
"1d3517d2-99a3-465f-92df",0
"2a948dba-1411-4aa5-b2ee",1
"ac6bd5cc-0ce2-4805-8d39",0
"67483",1
"152394",1
"2a90ed6a-42ef-40fa-be32",1
"170954",0
"103190",1
"672e8480-2a37-4547-bd1c",1
"4dff777d-9866-4bd7-a366",0
"116223",1
"61181",0
"10a3771c-5e17-4065-ab21",1
"b34152ee-797a-4f42-a919",1
"143963",0
"afa55cf9-0b22-445a-afb9",0
"d49c50d7-939f-439e-951e",1
"70952",0
"25918d47-0e06-4da9-8581",1
"148154",0
"54803",1
"19938",0
"97cc9442-5bec-445b-abcb",1
"d0e0c65f-4530-4366-be20",0
"34458916-6405-49a4-aa02",1
"c25efc35-c30d-47b7-9b04",1
"54943",0
"94e776f1-66ae-47c0-8280",0
"66b12714-f340-42c3-a147",0
"8ceebbd2-2cfa-4084-b16d",1
"104655",0
"9c71daea-e6b4-41d9-b4da",1
"fea84b5b-8561-439a-9547",1
"28f43317-a932-4aaa-8e5c",1
"baa92cba-5225-4ea8-9634",0
"cc09c990-12ab-4c77-9c01",1
"113454",1
"e7f8ef4b-96d5-440a-9c54",1
"6f3bb59b-ebe5-4cba-883f",0
"131135",0
"2529a4e5-6c85-4dae-aeae",1
"8f30b056-2ce0-4206-b027",1
"121959",1
"6ff1ed03-155f-4719-b9bf",1
"e9af39cb-441f-44ca-9378",0
"627524f1-c309-4fa9-acc9",1
"12fe01de-9b76-4fcd-9b7b",1
"141178",0
"126042",0
"38731",0
"32835097-7221-48d7-963b",1
"104192",1
"d32eb8c6-6482-4651-97c4",1
"73182",0
"138459",0
"187938",0
"181401",0
"d1c8c1a1-5bd5-4f5c-9d39",1
"2e82a1b2-4efe-484c-b7df",1
"40954",0
"58034ba2-1414-4f00-be26",1
"42806",0
"164810",0
"37a5b823-371d-4b07-8d57",0
"209bfd2c-333a-4134-8d01",1
"174095",1
"189865",0
"ee6f712c-cec2-4895-826b",1
"1b47dede-fd9d-4d7b-8d10",1
"138465",0
"125556",0
"165289",0
"c09a53bf-877d-44c4-a7fb",1
"b1bcb928-cc1b-45bc-bcdd",0
"89fce63f-3bf8-4d85-9a37",1
"682baee6-f7e2-4471-bea6",0
"9c894244-6d8b-4cbc-aefd",1
"44d4019b-c956-4764-ba80",0
"35f91fdf-ff1a-4438-978a",0
"296feced-c84f-4f66-a155",1
"156354",0
"73114",0
"c140d969-e038-48bb-b0ea",1
"3334855f-3b0a-4d52-9542",1
"59136",0
"51b06cca-a5aa-40fd-9091",1
"55240",0
"143298",0
"8ffcf0fe-73d1-4693-8508",0
"102855",0
"91136",0
"dd00f189-3699-49bf-8130",0
"78805",0
"f88bc81b-5013-4864-99f4",1
"133095",0
"cac06df2-d771-47b4-800c",1
"febe39f8-641f-42e1-ab24",1
"96956",1
"4a2bd9c4-a232-4c0d-b37e",1
"166894",0
"157393",0
"157511",0
"110986",1
"e38f1747-5ef7-46af-b69a",1
"113575",1
"588c0d01-88db-41c9-96e0",1
"145274",0
"467aef18-a1dc-4ad6-b5d4",1
"82269",0
"127236",0
"171004",0
"155209",0
"173896",0
"127623",0
"349",0
"133746",1
"173895",0
"65dc4d96-f9d3-47ec-bdb5",1
"173195",0
"1c27179b-3783-449b-ac18",0
"116820",1
"cdf1070d-717f-490a-8ee4",1
"53581",0
"f3001213-fc29-4e36-bc8c",1
"164377",0
"c4b2f22e-2970-4b95-afbb",1
"113330",0
"157899",1
"8d5140fa-cc63-4ae8-81c9",1
"37997d2c-3b00-43ed-83db",0
"128010",1
"c0d7f6c5-b41a-41cc-b47a",1
"45488",0
"9f0333d5-ec00-4a35-952b",1
"155283",0
"164875",1
"113352",0
"126824",0
"adc97d82-3d7a-4a07-8154",1
"66104",0
"a64ee540-0728-41eb-a837",0
"109485",1
"e04e171e-3a8b-48f2-b14c",0
"102972",1
"124694",0
"187005",1
"4b5a5198-f9f3-4f95-a45d",0
"146325",0
"b2d6490e-7b6d-4504-b256",0
"9c3d2330-8314-4b4c-b2e0",1
"7f38b8d8-0212-44e5-b472",1
"71ffdb75-6ea0-4d30-a767",1
"52778",1
"127438",1
"bc1bba89-d598-4732-b92a",1
"108763",1
"36483",0
"3184",1
"6cabbe11-cb40-4d29-b621",1
"52646",1
"95616",1
"5ea538d7-d386-4e59-bb1c",1
"0be9a177-4ba2-4363-b2e5",1
"61238",0
"189847",0
"20049",0
"2c14d332-f6cf-4b85-b885",1
"b3be8386-9f4c-4fd8-90b0",1
"1fa3a2f5-3c26-4581-aeea",1
"156145",0
"121292",1
"c7f9f6f6-1d12-4c26-b27e",1
"48161",0
"2ec10e72-d7c9-439e-8a6c",1
"2ed191dd-a821-4452-b64d",1
"f5b59669-7712-4e2d-9fbc",1
"ada27f50-2d65-48ce-b513",1
"21890",0
"23025a1f-ea26-4ce2-855f",1
"73617",1
"166427",0
"40956b67-9663-4d80-8329",1
"8d0750ee-8eb2-4dbc-8de1",1
"afc91a7e-5537-4255-aefc",1
"149112",1
"976593f5-75aa-47f1-94f1",1
"edcc5fcb-ec6f-4133-9c0b",1
"717a90e3-729a-4113-992d",1
"66643",0
"30c212bd-3d3c-4247-a625",0
"bd837309-4777-4707-a9e7",1
"157473",0
"0c3b9ff3-7abf-4db2-a1c2",1
"fae8f666-1f68-48e1-aba6",1
"1ee15b89-20b0-4aed-8a0b",1
"b131aeef-8da1-4bdf-b0e3",1
"8054df7d-7171-401b-a96e",1
"107225",0
"118592",1
"164373",0
"93453",0
"0c37de0f-b8ba-4823-81c4",1
"d1778d1b-71f2-441d-a84e",1
"90412",1
"4979ba7e-c078-476d-ab7b",1
"61029",0
"a5a4cdd5-d76d-4fc5-acca",1
"170564",1
"146201",0
"38884",0
"d064be1e-41d1-43cc-97d6",1
"51d6ebf4-26e6-48af-ba60",1
"129775",1
"70fca8d2-5bdd-45cc-acba",0
"65340",0
"d23fe2ab-4468-4407-96d0",1
"2a6acce6-c129-4875-8cfe",0
"46805",1
"157515",0
"192190",0
"95815",0
"f76bac0f-0b1a-45a3-aa8d",1
"141160",0
"7fbf7361-0ccf-4b76-a8db",1
"57030",0
"41192",0
"33d09224-4dce-4b5f-b2f9",1
"97271b71-f688-464c-af09",1
"126666",1
"17913",0
"78cc4ea1-8510-4b33-86d9",1
"2c9ff384-6ed6-4965-8e23",0
"fc7b9255-8539-48a4-ae4a",1
"2729d95d-2b36-4086-925f",1
"73081",0
